signal,category,detect,present,absent,unknown,manual_unverified
archival_doi,C4_distribution_metadata,auto,17,70,0,0
changelog,C3_knowledge_infra,auto,18,69,0,0
channel_admin_transfer,C1_identity_access,manual,0,0,0,87
channels_declared,C2_communication_channels,auto,65,22,0,0
channels_documented,C2_communication_channels,auto,65,22,0,0
contributing_doc,C1_identity_access,auto,54,33,0,0
disclosure_depth,C3_knowledge_infra,manual,0,0,0,87
governance_doc,C1_identity_access,auto,1,86,0,0
has_release,C4_distribution_metadata,auto,82,5,0,0
impersonation_reporting,C2_communication_channels,manual,0,0,0,87
mfa_on_channel_admins,C1_identity_access,manual,0,0,0,87
multi_maintainer,C1_identity_access,manual,0,0,0,87
official_channel_statement,C2_communication_channels,manual,0,0,0,87
provenance_attestation,C4_distribution_metadata,manual,0,0,0,87
release_notes,C3_knowledge_infra,auto,82,5,0,0
sbom,C4_distribution_metadata,manual,0,0,0,87
security_policy,C3_knowledge_infra,auto,22,65,0,0
signed_releases,C4_distribution_metadata,manual,0,0,0,87
